USERNAME,ORDER_NUMBER,SKU,SIZE,NAME,PRODUCT_PRICE_CENTS_SALE_PRICE,CREDIT_DATE,PURCHASED_DATE
g0tchi,527890962,DN4890 101,8,Jordan System.23 'Sail Cement',89,12/9/22,7/9/22
g0tchi,462361354,DN4890 101,10,Jordan System.23 'Sail Cement',94,12/9/22,7/9/22
g0tchi,781570413,207393 837,11,Salehe Bembury x Pollex Clog 'Cobbler',115,7/9/22,5/9/22
g0tchi,262777780,DA6672 700,10,Tom Sachs x NikeCraft General Purpose Shoe 'Archive',161,12/9/22,3/9/22
g0tchi,316904947,DH9765 600,4,Dunk Low GS 'Triple Pink',133,6/9/22,2/9/22
g0tchi,885116295,DH0833 660,9.5,Air Jordan 36 Low 'Infrared',143,5/9/22,1/9/22
g0tchi,173169733,DH7615 001,9,Air Force 1 React 'Black Pink Prime',109,17/8/22,14/8/22
g0tchi,241604147,TB0A41QM 001,13,Chinatown Market x 3-Eye Lug Handsewn Boat 'Animal Print',149,17/8/22,11/8/22
g0tchi,150360332,DH7615 001,8.5,Air Force 1 React 'Black Pink Prime',109,15/8/22,10/8/22
g0tchi,549725510,CV1772 101,14,React Live 'White',29,18/5/22,3/8/22
g0tchi,107703841,DH7690 700,7.5,Blazer Mid '77 Jumbo 'Wheat Grass Vivid Sulfur',99,8/8/22,3/8/22
g0tchi,401518113,DH7690 700,7,Blazer Mid '77 Jumbo 'Wheat Grass Vivid Sulfur',99,3/8/22,1/8/22
g0tchi,720099321,GZ1458,6,Keith Haring x Club C 'Dancing Figures Allover Print',69,1/8/22,28/7/22
g0tchi,873078557,207943 90H,6,Awake NY x Classic Clog 'Paint Drip',95,8/8/22,24/7/22
g0tchi,841890306,GZ1458,12,Keith Haring x Club C 'Dancing Figures Allover Print',59,22/7/22,20/7/22
g0tchi,193271246,GX7295,13,Yeezy Foam Runner Kids 'Stone Sage',130,7/6/22,27/5/22
g0tchi,965846469,DA2045 100,10,Blazer Low X 'White',84,24/5/22,24/5/22
g0tchi,287374376,GW1934,6,Yeezy Slides 'Pure' 2021 Re-Release,176,24/5/22,21/5/22
g0tchi,896441977,HQ4120,5,Yeezy Slides Infant 'Pure' 2022 Re-Release,59,24/5/22,21/5/22
g0tchi,545395801,TB0A41QM 001,13,Chinatown Market x 3-Eye Lug Handsewn Boat 'Animal Print',159,30/5/22,20/5/22
g0tchi,147091391,GW1934,11,Yeezy Slides 'Pure' 2021 Re-Release,148,20/5/22,18/5/22
g0tchi,742452392,CD3476 500,7.5,Wmns Space Hippie 04 'Cactus Flower',89,17/5/22,13/5/22
g0tchi,718216279,BQ6806 100,11,Blazer Mid '77 Vintage 'White Black',95,17/5/22,13/5/22
g0tchi,786950192,CZ0789 105,15,Paris Saint-Germain x Air Jordan 7 Retro 'Paname',190,19/5/22,11/5/22
g0tchi,692396961,1191A266 103,10.5,Gel Lyte 3 OG Retro 'Teal' 2020,109,12/5/22,6/5/22
g0tchi,163058623,172584C,12,Jean-Michel Basquiat x Skid Grip 'Kings of Egypt II',65,10/5/22,4/5/22
g0tchi,151074937,1203A122 250,5.5,Sivasdescalzo x Gel Lyte 3 'Rewind Waste',99,2/5/22,28/4/22
g0tchi,444028057,CD3476 002,8.5,Wmns Space Hippie 04 'Iron Grey',99,30/4/22,25/4/22
g0tchi,314975875,207699 206,9,Anwar Carrots x Clog 'Soil - Espresso',59,25/4/22,25/4/22
g0tchi,386153320,CD3476 200,9,Wmns Space Hippie 04 'Sand',119,3/5/22,23/4/22
g0tchi,897900552,FY7916,9,4D Runner 'Crystal White Pink',116,2/5/22,20/4/22
g0tchi,533318989,ML725P,11,725 'Grey',104,18/4/22,18/4/22
g0tchi,153723890,555088 161,13,Air Jordan 1 Retro High OG 'Heritage',208,10/6/22,14/4/22
g0tchi,943336394,DJ0717 001,11,Air Max 97 'Silver Violet',119,14/4/22,9/4/22
g0tchi,501072827,DH7139 100,13,Air Jordan 3 Retro SE 'Muslin',270,7/4/22,5/4/22
g0tchi,668789615,DJ4629 002,8,Asuna Crater Slide 'Black',39,5/4/22,1/4/22
g0tchi,907609322,DC8892 800,13,Manoa Leather SE 'Rugged Orange',119,4/4/22,30/3/22
g0tchi,518671035,CD3476 200,8.5,Wmns Space Hippie 04 'Sand',109,17/3/22,15/3/22
g0tchi,376231277,GW1934,10,Yeezy Slides 'Pure' 2021 Re-Release,160,16/3/22,14/3/22
g0tchi,265125573,CD3476 200,8,Wmns Space Hippie 04 'Sand',124,16/3/22,14/3/22
g0tchi,323328614,CD3476 002,8.5,Wmns Space Hippie 04 'Iron Grey',99,15/3/22,13/3/22
g0tchi,297958991,CD3476 200,9.5,Wmns Space Hippie 04 'Sand',114,4/3/22,2/3/22
g0tchi,988594669,DJ4629 200,8,Asuna Crater Slide 'Cream',50,4/3/22,28/2/22
g0tchi,733466712,CZ9926 100,7.5,Daybreak-Type 'Cork - Pagoda',59,2/3/22,27/2/22
g0tchi,819202754,GW5021,10.5,Bad Bunny x Forum Buckle Low 'Back To School',379,25/2/22,23/2/22
g0tchi,162948047,CD3476 200,9.5,Wmns Space Hippie 04 'Sand',105,23/2/22,22/2/22
g0tchi,703330082,CD3476 200,6.5,Wmns Space Hippie 04 'Sand',129,16/2/22,14/2/22
g0tchi,852086639,AQ3597 100,10.5,Blazer Low LE 'Triple White',89,16/2/22,12/2/22
g0tchi,331111749,CD3476 200,7.5,Wmns Space Hippie 04 'Sand',115,14/2/22,10/2/22
g0tchi,498014120,CD3476 200,7,Wmns Space Hippie 04 'Sand',119,8/2/22,3/2/22
g0tchi,195870147,CD3476 200,7.5,Wmns Space Hippie 04 'Sand',119,7/2/22,2/2/22
g0tchi,593987804,CD3476 200,7.5,Wmns Space Hippie 04 'Sand',117,31/1/22,27/1/22
g0tchi,873530847,WL574SL2,6,Wmns 574 'Angora Incense',109,17/1/22,13/1/22
g0tchi,658514177,WL574SL2,9.5,Wmns 574 'Angora Incense',125,17/1/22,12/1/22
g0tchi,902636757,555088 063,13,Air Jordan 1 Retro High OG 'Patent Bred',430,7/1/22,4/1/22
g0tchi,451078009,FU7385,12,Marvel x D.O.N. Issue #2 'Spida Sense',99,7/1/22,4/1/22
g0tchi,367220538,1201A051 750,5.5,Gel Lyte 3 OG 'Back Streets of Japan - Ivory',100,6/1/22,2/1/22
g0tchi,468829110,DD1391 004,13,Dunk Low 'Goldenrod',159,13/12/21,9/12/21
g0tchi,185578099,1191A364 400,10,Gel Lyte 3 OG 'Monozukuri Pack - Smoke Blue',249,17/11/21,12/11/21
g0tchi,674763080,DC9207 001,6,Wmns Blazer Mid '77 'Leopard Prints',99,10/11/21,8/11/21
g0tchi,658609498,H05801,7,The Simpsons x Forum Low 'Duff Beer',69,29/10/21,26/10/21
g0tchi,452789299,DA2189 600,7,Zoom Blazer Mid Edge SB 'Team Red Navy',75,29/10/21,25/10/21
g0tchi,329284298,GX6139,13,Yeezy Slides Kids 'Glow Green',82,4/10/21,29/9/21
g0tchi,963712590,B75571,10.5,Yeezy Boost 700 'Wave Runner' 2017,465,10/8/21,8/8/21
g0tchi,155720802,G54853,7.5,Yeezy 700 V3 'Safflower',255,10/8/21,6/8/21
g0tchi,824369639,DB3027 001,10.5,Zoom Blazer Mid ISO SB 'Orange Label - Dark Smoke Grey',89,28/7/21,24/7/21
g0tchi,238070044,DB3027 001,11,Zoom Blazer Mid ISO SB 'Orange Label - Dark Smoke Grey',100,15/7/21,13/7/21
g0tchi,388454857,S77416 20,8,UltraBoost 1.0 Retro 'Triple White' 2020,90,29/4/21,23/4/21
g0tchi,830063560,DD0338 300,10.5,Air Max Pre-Day 'Liquid Lime',159,29/4/21,20/4/21
g0tchi,604132061,AT0575 600,8,Wmns Air Jordan 1 Retro High Zip 'Bordeaux',84,13/4/21,7/4/21
g0tchi,445973012,170646C,10.5,Joe Freshgoods x Chuck 70 High 'JFG Graphic Tee Collage',49,18/3/21,12/3/21
g0tchi,696693211,FX6131,9,4D Fusio 'Black Pink',190,26/1/21,24/1/21
g0tchi,819168048,CW3919 100,13,Air Force 1 Low 'South Korea',120,1/9/20,26/8/20
g0tchi,248443211,CW3919 100,10.5,Air Force 1 Low 'South Korea',165,27/7/20,23/7/20
g0tchi,219248830,EF2905,10.5,Yeezy Boost 350 V2 'Static Non-Reflective' 2018,220,3/6/20,27/5/20
